"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"1112","Word of Life","Jeremy Camp","Male","Christian Hits",NA,21,52,0,"Romantic Gender Neutral",0
"1113","Gracefully Broken","Matt Redman","Male","Christian Hits",NA,22,107,0,"Romantic Gender Neutral",0
"1114","King of the World","Natalie Grant","Female","Christian Hits",NA,23,28,0,"Romantic Gender Neutral",0
"1115","The Gospel","Ryan Stevenson","Male","Christian Hits",NA,24,64,0,"Romantic Gender Neutral",0
"1116","Bulletproof","Citizen Way","Male","Christian Hits",NA,25,59,0,"Romantic Gender Neutral",0
"1117","Take Courage","Kristene Dimarco","Female","Christian Hits",NA,26,35,0,"Romantic Gender Neutral",0
"1118","Point to You","We Are Messengers","Male","Christian Hits",NA,27,59,0,"Romantic Gender Neutral",0
"1119","The Comeback","Danny Gokey","Male","Christian Hits",NA,28,37,0,"Romantic Gender Neutral",0
"1120","In the Name of Love","Kari Jobe","Female","Christian Hits",NA,29,37,0,"Romantic Gender Neutral",0.0540540540540541
"1121","Control","Tenth Avenue North","Male","Christian Hits",NA,30,67,0,"Romantic Gender Neutral",0
"1122","Hills and valleys","Tauren Wells","Male","Christian Hits",NA,1,67,0,"Romantic Gender Neutral",0.0298507462686567
"1123","What a Beautiful Name","Hillsong Kiev","Female","Christian Hits",NA,2,57,0,"Romantic Gender Neutral",0
"1124","Even If","MercyMe","Male","Christian Hits",NA,3,47,0,"Romantic Gender Neutral",0
"1125","O Come to the Altar","Elevation Worship","Male","Christian Hits",NA,4,46,0,"Romantic Gender Neutral",0
"1126","Wonder","Hillsong United","Female","Christian Hits",NA,5,40,0,"Romantic Gender Neutral",0.025
"1127","Chain Breaker","Zack Williams","Male","Christian Hits",NA,6,50,0,"Romantic Gender Neutral",0
"1128","Home","Chris Tomlin","Female","Christian Hits",NA,7,56,0,"Romantic Gender Neutral",0
"1129","I'll Find You","Lecrae","Both","Christian Hits",NA,8,85,0,"Romantic Gender Neutral",0
"1130","Broken Things","Matthew West","Male","Christian Hits",NA,9,23,0,"Romantic Gender Neutral",0
"1131","Peace Be Still","The Belonging Co","Female","Christian Hits",NA,10,107,0,"Romantic Gender Neutral",0
"1132","Death Was Arrested","North Point InsideOut","Male","Christian Hits",NA,11,56,0,"Romantic Gender Neutral",0
"1133","I Have This Hope","Tenth Avenue North","Male","Christian Hits",NA,12,40,0,"Romantic Gender Neutral",0
"1134","So Will I","100 Billion X","Male","Christian Hits",NA,13,57,0,"Romantic Gender Neutral",0
"1135","Throne Room","Kim Walker-Smith","Female","Christian Hits",NA,14,48,0,"Romantic Gender Neutral",0
"1136","O God Forgive Us","for King and Country","Male","Christian Hits",NA,15,36,0,"Romantic Gender Neutral",0
"1137","The Cause of Christ","Kari Jobe","Female","Christian Hits",NA,16,39,0,"Romantic Gender Neutral",0
"1138","Reckless Love","Cory Asbury","Male","Christian Hits",NA,17,44,0,"Romantic Gender Neutral",0
"1139","Oh My Soul","Casting Crowns","Male","Christian Hits",NA,18,40,0,"Romantic Gender Neutral",0
"1140","Thy Will","Hillary Scott","Female","Christian Hits",NA,19,47,0,"Romantic Gender Neutral",0
"1141","Body like a back road","sam hunt","Male","Hot Country",98,1,17,0,"Romantic Gender Neutral",0
"1142","meant to be","bebe rexha","Female","Hot Country",NA,2,45,0,"Romantic Gender Neutral",0.111111111111111
"1143","what ifs","kane brown","Male","Hot Country",NA,3,43,0,"Romantic Gender Neutral",0.372093023255814
"1144","unforgettable","thomas rhett","Male","Hot Country",NA,4,49,0,"Romantic Gender Neutral",0.0612244897959184
"1145","craving you","thomas rhett","Male","Hot Country",NA,5,52,0,"Romantic Gender Neutral",0
"1146","all on me","devin dawson","Male","Hot Country",NA,6,55,0,"Romantic Gender Neutral",0.218181818181818
"1147","close","ryan kinder","Male","Hot Country",NA,7,42,0,"Romantic Gender Neutral",0.119047619047619
"1148","hurricane","luke combs","Male","Hot Country",NA,8,50,0,"Romantic Gender Neutral",0
"1149","blue tacoma","russell dickerson","Male","Hot Country",NA,9,66,0,"Romantic Gender Neutral",0.0303030303030303
"1150","in case you didnt know","brett young","Male","Hot Country",NA,10,44,0,"Romantic Gender Neutral",0.113636363636364
"1151","man enough now","chris bandi","Male","Hot Country",NA,11,42,0,"Romantic Gender Neutral",0
"1152","small town boy","dustin lynch","Male","Hot Country",NA,12,57,0,"Romantic Gender Neutral",0
"1153","i could use a love song","maren morris","Female","Hot Country",NA,13,44,0,"Romantic Gender Neutral",0
"1154","getting over you","jackie lee","Male","Hot Country",NA,14,24,0,"Romantic Gender Neutral",0
"1155","more girls like you","kip moore","Male","Hot Country",NA,15,38,0,"Romantic Gender Neutral",0.236842105263158
"1156","may we all","florida georgia line","Male","Hot Country",NA,16,20,0,"Romantic Gender Neutral",0
"1157","losing sleep","chris young","Male","Hot Country",NA,17,41,0,"Romantic Gender Neutral",0.024390243902439
"1158","you broke up with me","walker hayes","Male","Hot Country",NA,18,46,0,"Romantic Gender Neutral",0
"1159","sunday morning","parMalee","Male","Hot Country",NA,19,40,0,"Romantic Gender Neutral",0.425
"1160","star of the show","thomas rhett","Male","Hot Country",NA,20,37,0,"Romantic Gender Neutral",0.0540540540540541
"1161","heartache on the dance floor","jon pardi","Male","Hot Country",NA,21,39,0,"Romantic Gender Neutral",0
"1162","singles you up","jordan davis","Male","Hot Country",NA,22,37,0,"Romantic Gender Neutral",0.108108108108108
"1163","no such thing as a broken heart","old dominion","Male","Hot Country",NA,23,31,0,"Romantic Gender Neutral",0.193548387096774
"1164","written in the sand","old dominion","Male","Hot Country",NA,24,21,0,"Romantic Gender Neutral",0
"1165","sleep without you","brett young","Male","Hot Country",NA,25,45,0,"Romantic Gender Neutral",0
"1166","when it rains it pours","luke combs","Male","Hot Country",NA,26,36,0,"Romantic Gender Neutral",0
"1167","happens like that","granger smith","Male","Hot Country",NA,27,42,0,"Romantic Gender Neutral",0
"1168","hooked","dylan scott","Male","Hot Country",NA,28,61,0,"Romantic Gender Neutral",0
"1169","hometown girl","josh turner","Male","Hot Country",NA,29,29,0,"Romantic Gender Neutral",0
"1170","kiss somebody","morgan evans","Male","Hot Country",NA,30,57,0,"Romantic Gender Neutral",0
"1171","different now","chastity belt","Female","Ultimate Indie",NA,1,15,0,"Romantic Gender Neutral",0
"1172","virtue","kllo","Female","Ultimate Indie",NA,2,45,0,"Romantic Gender Neutral",0.288888888888889
"1173","now and then","sjowgren","Female","Ultimate Indie",NA,3,21,0,"Romantic Gender Neutral",0.0952380952380952
"1174","fallss","bayonne","Male","Ultimate Indie",NA,4,16,0,"Romantic Gender Neutral",0
"1175","gold angel","minke","Male","Ultimate Indie",NA,5,24,0,"Romantic Gender Neutral",0.375
"1176","anemone","slenderbodies","Male","Ultimate Indie",NA,6,33,0,"Romantic Gender Neutral",0
"1177","dreams tonite","alvvays","Female","Ultimate Indie",NA,7,16,0,"Romantic Gender Neutral",0.125
"1178","down the line","beach fossils","Male","Ultimate Indie",NA,8,22,0,"Romantic Gender Neutral",0.181818181818182
"1179","goodpain","yoke lore","Male","Ultimate Indie",NA,9,15,0,"Romantic Gender Neutral",0
"1180","star roving","slowdive","Male","Ultimate Indie",NA,10,32,0,"Romantic Gender Neutral",0
"1181","this time","land of talk","Female","Ultimate Indie",NA,11,22,0,"Romantic Gender Neutral",0.0454545454545455
"1182","olly","cape francis","Male","Ultimate Indie",NA,12,21,0,"Romantic Gender Neutral",0
"1183","begin","shallou","Male","Ultimate Indie",NA,13,25,0,"Romantic Gender Neutral",0
"1184","my god has a telephone","the flying stars of brooklyn ny","Female","Ultimate Indie",NA,14,26,0,"Romantic Gender Neutral",0
"1185","depths pt 1","yumi zouma","Female","Ultimate Indie",NA,15,20,0,"Romantic Gender Neutral",0.05
"1186","live well","palace","Male","Ultimate Indie",NA,16,44,0,"Romantic Gender Neutral",0.204545454545455
"1187","chateau","angus & julia stone","Both","Ultimate Indie",NA,17,42,0,"Romantic Gender Neutral",0.595238095238095
"1188","appointments","julien baker","Female","Ultimate Indie",NA,18,31,0,"Romantic Gender Neutral",0
"1189","going home","twist","Female","Ultimate Indie",NA,19,25,0,"Romantic Gender Neutral",0.32
"1190","ancient water","future islands","Male","Ultimate Indie",NA,20,32,0,"Romantic Gender Neutral",0.375
"1191","here if you want","MOSSS","Male","Ultimate Indie",NA,21,18,0,"Romantic Gender Neutral",0.277777777777778
"1192","come home","the undercover dream lovers","Male","Ultimate Indie",NA,22,31,0,"Romantic Gender Neutral",0.032258064516129
"1193","tell me","bros","Male","Ultimate Indie",NA,23,37,0,"Romantic Gender Neutral",0.621621621621622
"1194","darling","real estate","Male","Ultimate Indie",NA,24,17,0,"Romantic Gender Neutral",0.235294117647059
"1195","nervous","magic bronson","Male","Ultimate Indie",NA,25,30,0,"Romantic Gender Neutral",0
"1196","bike dream","rostam","Male","Ultimate Indie",NA,26,50,0,"Romantic Gender Neutral",0
"1197","sheep","mt. dream","Male","Ultimate Indie",NA,27,30,0,"Romantic Gender Neutral",0
"1198","die young","sylvan esso","Female","Ultimate Indie",NA,28,45,0,"Romantic Gender Neutral",0
"1199","the night we met","lord huron","Male","Ultimate Indie",NA,29,24,0,"Romantic Gender Neutral",0.208333333333333
"1200","yam yam","no vacation","Female","Ultimate Indie",NA,30,20,0,"Romantic Gender Neutral",0.1
"1201","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,0,"Sexual Gender Neutral",0.0277777777777778
"1202","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,0,"Sexual Gender Neutral",0.0392156862745098
"1203","Slippery","Migos","Male","RapCaviar",NA,3,107,0,"Sexual Gender Neutral",0.186915887850467
"1204","Bank Account","21 Savage","Male","RapCaviar",95,4,80,0,"Sexual Gender Neutral",0
"1205","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,0,"Sexual Gender Neutral",0
"1206","Portland","Drake","Male","RapCaviar",NA,6,97,0,"Sexual Gender Neutral",0
"1207","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,0,"Sexual Gender Neutral",0
"1208","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,0,"Sexual Gender Neutral",0
"1209","Water","Ugly God","Male","RapCaviar",NA,9,41,0,"Sexual Gender Neutral",0
"1210","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,0,"Sexual Gender Neutral",0
"1211","Unforgettable","French Montana","Male","RapCaviar",8,11,77,0,"Sexual Gender Neutral",0
"1212","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,0,"Sexual Gender Neutral",0
"1213","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,"Sexual Gender Neutral",0
"1214","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,0,"Sexual Gender Neutral",0
"1215","T-Shirt","Migos","Male","RapCaviar",NA,15,64,0,"Sexual Gender Neutral",0
"1216","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Sexual Gender Neutral",0
"1217","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Sexual Gender Neutral",0
"1218","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Sexual Gender Neutral",0
"1219","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Sexual Gender Neutral",0
"1220","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Sexual Gender Neutral",0
"1221","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Sexual Gender Neutral",0
"1222","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Sexual Gender Neutral",0
"1223","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Sexual Gender Neutral",0
"1224","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Sexual Gender Neutral",0
"1225","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Sexual Gender Neutral",0
"1226","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Sexual Gender Neutral",0
"1227","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Sexual Gender Neutral",0
"1228","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Sexual Gender Neutral",0
"1229","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Sexual Gender Neutral",0
"1230","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Sexual Gender Neutral",0
"1231","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Sexual Gender Neutral",0
"1232","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Sexual Gender Neutral",0
"1233","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Sexual Gender Neutral",0
"1234","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Sexual Gender Neutral",0
"1235","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Sexual Gender Neutral",0
"1236","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Sexual Gender Neutral",0
"1237","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Sexual Gender Neutral",0
"1238","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Sexual Gender Neutral",0
"1239","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Sexual Gender Neutral",0
"1240","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Sexual Gender Neutral",0
"1241","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Sexual Gender Neutral",0.0579710144927536
"1242","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Sexual Gender Neutral",0
"1243","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Sexual Gender Neutral",0
"1244","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Sexual Gender Neutral",0
"1245","Haters - Remix","J Alvarez","Male","Trap Land",NA,15,127,0,"Sexual Gender Neutral",0
"1246","Que Tengo Que Hacer","Lary Over","Male","Trap Land",NA,16,58,0,"Sexual Gender Neutral",0
"1247","Chambea","Bad Bunny","Male","Trap Land",NA,17,51,0,"Sexual Gender Neutral",0
"1248","Sexto Sentido","Gigolo Y la Exce","Male","Trap Land",NA,18,63,0,"Sexual Gender Neutral",0
"1249","Loca","Cazzu (Ft. Khea)","Both","Trap Land",NA,19,79,0,"Sexual Gender Neutral",0
"1250","Luna Llena","Paulo Londra","Male","Trap Land",NA,20,65,0,"Sexual Gender Neutral",0
"1251","Todo Poderoso","Almigthy","Male","Trap Land",NA,21,89,0,"Sexual Gender Neutral",0
"1252","Por Ti","Fuego","Male","Trap Land",NA,22,51,0,"Sexual Gender Neutral",0
"1253","Demasiao Tarde","C. Tangana","Male","Trap Land",NA,23,78,0,"Sexual Gender Neutral",0
"1254","Amigos y Enemigos","Trap Capos","Male","Trap Land",NA,24,122,0,"Sexual Gender Neutral",0
"1255","Sensualidad","Bad Bunny","Male","Trap Land",NA,25,75,0,"Sexual Gender Neutral",0
"1256","Explicale","Yandel","Male","Trap Land",NA,26,76,0,"Sexual Gender Neutral",0
"1257","GPS","Maluma","Male","Trap Land",NA,27,72,0,"Sexual Gender Neutral",0
"1258","Diabla","Farruko","Male","Trap Land",NA,28,63,0,"Sexual Gender Neutral",0
"1259","Viajo sin ver","Jon Z","Male","Trap Land",NA,29,90,0,"Sexual Gender Neutral",0
"1260","Stripper","Andy Rivera","Male","Trap Land",NA,30,72,0,"Sexual Gender Neutral",0
"1261","I feel it still","Portugal. The Man.","Male","Rock This",NA,1,46,0,"Sexual Gender Neutral",0.0217391304347826
"1262","Lights Out","Royal Blood","Male","Rock This",NA,2,34,0,"Sexual Gender Neutral",0
"1263","The Sky Is A Neighborhood","Foo Fighters","Male","Rock This",NA,3,72,0,"Sexual Gender Neutral",0
"1264","The Way You Used To Do","Queens of The Stone Age","Male","Rock This",NA,4,39,0,"Sexual Gender Neutral",0
"1265","Rx","A Theory of A Deadman","Male","Rock This",NA,5,75,0,"Sexual Gender Neutral",0
"1266","Highway Tune","Greta Van Fleet","Male","Rock This",NA,6,37,0,"Sexual Gender Neutral",0
"1267","Young Lady You're Scaring Me","Ron Gallo","Male","Rock This",NA,7,23,0,"Sexual Gender Neutral",0
"1268","Jungle","Tash Sultana","Female","Rock This",NA,8,45,0,"Sexual Gender Neutral",0
"1269","Legendary","Welshly Arms","Male","Rock This",NA,9,52,0,"Sexual Gender Neutral",0
"1270","Little One","Highly Suspect","Male","Rock This",NA,10,32,0,"Sexual Gender Neutral",0
"1271","Go To War","Nothing More","Male","Rock This",NA,11,67,0,"Sexual Gender Neutral",0
"1272","Freeze Me","Death From Above 1979","Male","Rock This",NA,12,20,0,"Sexual Gender Neutral",0
"1273","Come Together","Gary Clark Jr.","Male","Rock This",NA,13,20,0,"Sexual Gender Neutral",0
"1274","No Good","Kaleo","Male","Rock This",NA,14,54,0,"Sexual Gender Neutral",0
"1275","Love Is Mystical","Cold War Kids","Male","Rock This",NA,15,55,0,"Sexual Gender Neutral",0
"1276","The Man","The Killers","Male","Rock This",NA,16,60,0,"Sexual Gender Neutral",0
"1277","Walk On Water","Thirty Seconds to Mars","Male","Rock This",NA,17,55,0,"Sexual Gender Neutral",0
"1278","Believer","Imagine Dragons","Male","Rock This",20,18,52,0,"Sexual Gender Neutral",0
"1279","Cold Cold Cold","Cage The Elephant","Male","Rock This",NA,19,34,0,"Sexual Gender Neutral",0
"1280","Sorry","Nothing But Thieves","Male","Rock This",NA,20,44,0,"Sexual Gender Neutral",0.0227272727272727
"1281","It's A Trip","Joywave","Male","Rock This",NA,21,41,0,"Sexual Gender Neutral",0
"1282","Cocoon","Milky Chance","Male","Rock This",NA,22,59,0,"Sexual Gender Neutral",0
"1283","Reverend","Kings Of Leon","Male","Rock This",NA,23,31,0,"Sexual Gender Neutral",0
"1284","One More Light","Linkin Park","Male","Rock This",NA,24,36,0,"Sexual Gender Neutral",0
"1285","Sweet Desaster","Dreamers","Male","Rock This",NA,25,38,0,"Sexual Gender Neutral",0
"1286","Roman Sky","Avenged Sevenfold","Male","Rock This",NA,26,15,0,"Sexual Gender Neutral",0
"1287","Vacation","The Dirty Heads","Male","Rock This",NA,27,61,0,"Sexual Gender Neutral",0
"1288","We Fight","Dashboard Confessional","Male","Rock This",NA,28,62,0,"Sexual Gender Neutral",0
"1289","Get Right","Jimmy Eat World","Male","Rock This",NA,29,24,0,"Sexual Gender Neutral",0
"1290","American Soul","U2","Male","Rock This",NA,30,61,0,"Sexual Gender Neutral",0
"1291","DNA","BTS","Male","K-Pop",NA,1,62,0,"Sexual Gender Neutral",0
"1292","Bang Bang Bang","BigBang","Male","K-Pop",NA,2,73,0,"Sexual Gender Neutral",0.0684931506849315
"1293","As If It's Your Last","BlackPink","Female","K-Pop",NA,3,61,0,"Sexual Gender Neutral",0.0163934426229508
"1294","Stay With Me","Chanyeol","Male","K-Pop",NA,4,50,0,"Sexual Gender Neutral",0
"1295","Ko Ko Bop","Exo","Male","K-Pop",NA,5,55,0,"Sexual Gender Neutral",0.0181818181818182
"1296","Blood Sweat Tears","BTS","Male","K-Pop",NA,6,60,0,"Sexual Gender Neutral",0.0166666666666667
"1297","Boombayah","BlackPink","Female","K-Pop",NA,7,71,0,"Sexual Gender Neutral",0.028169014084507
"1298","FXXK It","BigBang","Male","K-Pop",NA,8,109,0,"Sexual Gender Neutral",0.00917431192660551
"1299","Monster","Exo","Male","K-Pop",NA,9,72,0,"Sexual Gender Neutral",0.138888888888889
"1300","Beautiful","Crush","Male","K-Pop",NA,10,42,0,"Sexual Gender Neutral",0
"1301","Spring Day","BTS","Male","K-Pop",NA,11,84,0,"Sexual Gender Neutral",0
"1302","Playing With Fire","BlackPink","Female","K-Pop",NA,12,51,0,"Sexual Gender Neutral",0
"1303","Really Really","Winner","Male","K-Pop",NA,13,76,0,"Sexual Gender Neutral",0.0131578947368421
"1304","Don't Recall","Kard","Both","K-Pop",NA,14,64,0,"Sexual Gender Neutral",0
"1305","Don't Want To Cry","Seventeen","Male","K-Pop",NA,15,41,0,"Sexual Gender Neutral",0
"1306","Not Today","BTS","Male","K-Pop",NA,16,21,0,"Sexual Gender Neutral",0
"1307","Whistle","BlackPink","Female","K-Pop",NA,17,72,0,"Sexual Gender Neutral",0.0416666666666667
"1308","Oh NaNa","Kard","Both","K-Pop",NA,18,69,0,"Sexual Gender Neutral",0
"1309","Call Me Baby","Exo","Male","K-Pop",NA,19,88,0,"Sexual Gender Neutral",0
"1310","Gashina-Sunm","Sunmi","Female","K-Pop",NA,20,54,0,"Sexual Gender Neutral",0
"1311","Russian Roulette","Red Velvet","Female","K-Pop",NA,21,70,0,"Sexual Gender Neutral",0
"1312","Go Go","BTS","Male","K-Pop",NA,22,82,0,"Sexual Gender Neutral",0
"1313","The Eve","Exo","Male","K-Pop",NA,23,53,0,"Sexual Gender Neutral",0
"1314","Stay","BlackPink","Female","K-Pop",NA,24,57,0,"Sexual Gender Neutral",0
"1315","Dope","BTS","Male","K-Pop",NA,25,82,0,"Sexual Gender Neutral",0
"1316","Lotto","Exo","Male","K-Pop",NA,26,62,0,"Sexual Gender Neutral",0
"1317","Red Flavor","Red Velvet","Female","K-Pop",NA,27,47,0,"Sexual Gender Neutral",0
"1318","Very Very","I.O.I.","Female","K-Pop",NA,28,75,0,"Sexual Gender Neutral",0
"1319","Palette","IU","Female","K-Pop",NA,29,56,0,"Sexual Gender Neutral",0
"1320","Very Nice","Seventeen","Male","K-Pop",NA,30,70,0,"Sexual Gender Neutral",0
"1321","If You Need To, Keep Time on Me","Fleet Foxes","Male","Fresh Folk",NA,1,18,0,"Sexual Gender Neutral",0
"1322","Chateau","Angus & Julia Stone","Both","Fresh Folk",NA,2,52,0,"Sexual Gender Neutral",0
"1323","Minimum","Charlie Cunningham","Male","Fresh Folk",NA,3,36,0,"Sexual Gender Neutral",0
"1324","A Closeness","Dermot Kennedy","Male","Fresh Folk",NA,4,44,0,"Sexual Gender Neutral",0
"1325","Carry You","Novo Amor","Male","Fresh Folk",NA,5,23,0,"Sexual Gender Neutral",0
"1326","Colder Heavens","Blanco White","Male","Fresh Folk",NA,6,39,0,"Sexual Gender Neutral",0
"1327","The Meetings of the Waters","Fionn Regan","Male","Fresh Folk",NA,7,40,0,"Sexual Gender Neutral",0
"1328","Six Years","A Blaze of Feather","Male","Fresh Folk",NA,8,39,0,"Sexual Gender Neutral",0
"1329","You Would Have to Lose Your Mind","The Barr Brothers","Male","Fresh Folk",NA,9,34,0,"Sexual Gender Neutral",0
"1330","Silver Lining","Mnt. Joy","Male","Fresh Folk",NA,10,39,0,"Sexual Gender Neutral",0
"1331","Lay It On Me","Vance Joy","Male","Fresh Folk",NA,11,33,0,"Sexual Gender Neutral",0
"1332","Never Break","Langhorne Slim","Male","Fresh Folk",NA,12,23,0,"Sexual Gender Neutral",0
"1333","Horizon","Aldous Harding","Female","Fresh Folk",NA,13,42,0,"Sexual Gender Neutral",0
"1334","Bruises","Lewis Capaldi","Male","Fresh Folk",NA,14,41,0,"Sexual Gender Neutral",0
"1335","Call it Dreaming","Iron and Wine","Male","Fresh Folk",NA,15,31,0,"Sexual Gender Neutral",0
"1336","Little Lies","I'm with Her","Female","Fresh Folk",NA,16,41,0,"Sexual Gender Neutral",0.024390243902439
"1337","Only Lonely","The Ballroom Thieves","Both","Fresh Folk",NA,17,52,0,"Sexual Gender Neutral",0
"1338","Subterranean Homesick Bluse","Andrew Bird","Male","Fresh Folk",NA,18,71,0,"Sexual Gender Neutral",0
"1339","It's A Shame","First Aid Kit","Female","Fresh Folk",NA,19,40,0,"Sexual Gender Neutral",0
"1340","Coming Down the Mountain","Mipso","Female","Fresh Folk",NA,20,30,0,"Sexual Gender Neutral",0
"1341","At the Purchaser's Option","Rhiannon Gibbons","Female","Fresh Folk",NA,21,44,0,"Sexual Gender Neutral",0
"1342","My Arms Were Always Around You","Peter Bradley Adams","Male","Fresh Folk",NA,22,40,0,"Sexual Gender Neutral",0
"1343","Ballad of the Dying Man","Father John Misty","Male","Fresh Folk",NA,23,27,0,"Sexual Gender Neutral",0
"1344","Thirty","The Weather Station","Female","Fresh Folk",NA,24,66,0,"Sexual Gender Neutral",0
"1345","Standing In The Doorway","Hiss Golden Messenger","Male","Fresh Folk",NA,25,36,0,"Sexual Gender Neutral",0
"1346","Motion Sickness","Phoebe Bridgers","Female","Fresh Folk",NA,26,35,0,"Sexual Gender Neutral",0.0285714285714286
"1347","Nobody's Fool","Shakey Graves","Male","Fresh Folk",NA,27,27,0,"Sexual Gender Neutral",0
"1348","Blind in the Fray","The Last Revel","Male","Fresh Folk",NA,28,31,0,"Sexual Gender Neutral",0
"1349","If We Were Vampires","Jason Isbell","Male","Fresh Folk",NA,29,28,0,"Sexual Gender Neutral",0
"1350","Mind On Fire","Aisha Badru","Female","Fresh Folk",NA,30,22,0,"Sexual Gender Neutral",0
"1351","Old Church Choir","Zack Williams","Male","Christian Hits",NA,20,38,0,"Sexual Gender Neutral",0
"1352","Word of Life","Jeremy Camp","Male","Christian Hits",NA,21,52,0,"Sexual Gender Neutral",0
"1353","Gracefully Broken","Matt Redman","Male","Christian Hits",NA,22,107,0,"Sexual Gender Neutral",0
"1354","King of the World","Natalie Grant","Female","Christian Hits",NA,23,28,0,"Sexual Gender Neutral",0
"1355","The Gospel","Ryan Stevenson","Male","Christian Hits",NA,24,64,0,"Sexual Gender Neutral",0
"1356","Bulletproof","Citizen Way","Male","Christian Hits",NA,25,59,0,"Sexual Gender Neutral",0
"1357","Take Courage","Kristene Dimarco","Female","Christian Hits",NA,26,35,0,"Sexual Gender Neutral",0
"1358","Point to You","We Are Messengers","Male","Christian Hits",NA,27,59,0,"Sexual Gender Neutral",0
"1359","The Comeback","Danny Gokey","Male","Christian Hits",NA,28,37,0,"Sexual Gender Neutral",0
"1360","In the Name of Love","Kari Jobe","Female","Christian Hits",NA,29,37,0,"Sexual Gender Neutral",0
"1361","Control","Tenth Avenue North","Male","Christian Hits",NA,30,67,0,"Sexual Gender Neutral",0
"1362","Hills and valleys","Tauren Wells","Male","Christian Hits",NA,1,67,0,"Sexual Gender Neutral",0
"1363","What a Beautiful Name","Hillsong Kiev","Female","Christian Hits",NA,2,57,0,"Sexual Gender Neutral",0
"1364","Even If","MercyMe","Male","Christian Hits",NA,3,47,0,"Sexual Gender Neutral",0
"1365","O Come to the Altar","Elevation Worship","Male","Christian Hits",NA,4,46,0,"Sexual Gender Neutral",0
"1366","Wonder","Hillsong United","Female","Christian Hits",NA,5,40,0,"Sexual Gender Neutral",0
"1367","Chain Breaker","Zack Williams","Male","Christian Hits",NA,6,50,0,"Sexual Gender Neutral",0
"1368","Home","Chris Tomlin","Female","Christian Hits",NA,7,56,0,"Sexual Gender Neutral",0
"1369","I'll Find You","Lecrae","Both","Christian Hits",NA,8,85,0,"Sexual Gender Neutral",0
"1370","Broken Things","Matthew West","Male","Christian Hits",NA,9,23,0,"Sexual Gender Neutral",0
"1371","Peace Be Still","The Belonging Co","Female","Christian Hits",NA,10,107,0,"Sexual Gender Neutral",0
"1372","Death Was Arrested","North Point InsideOut","Male","Christian Hits",NA,11,56,0,"Sexual Gender Neutral",0
"1373","I Have This Hope","Tenth Avenue North","Male","Christian Hits",NA,12,40,0,"Sexual Gender Neutral",0
"1374","So Will I","100 Billion X","Male","Christian Hits",NA,13,57,0,"Sexual Gender Neutral",0
"1375","Throne Room","Kim Walker-Smith","Female","Christian Hits",NA,14,48,0,"Sexual Gender Neutral",0
